id,name
221982,Patrick Roberts
185122,Péter Gulácsi
212886,Wylan Cyprien
186561,Aaron Ramsey
216325,Angus Gunn
210828,Björn Engels
246785,Bryan Gil Salvatierra
226766,Daniel Castelo Podence
179944,David Luiz Moreira Marinho
225964,Jorge Carrascal
233222,Kamil Jóźwiak
237183,Matías Rojas
218066,Mbwana Ally Samatta
236532,Robin Koch
242081,Agustín Almendra
201510,Layvin Kurzawa
212187,Philipp Max
220883,Rafael Santos Borré
228698,Viktor Kovalenko
245691,Álvaro Barreal
210935,Domenico Berardi
244193,Jovane Eduardo Borges Cabral
231391,João António Antunes Carvalho
233926,Leonardo Duarte da Silva
222077,Manuel Locatelli
179844,Diego da Silva Costa
242573,Déiber Caicedo
170368,Erik Lamela
229636,Gastón Pereiro
202750,Willy Boly
193105,Alphonse Areola
232730,Daichi Kamada
204082,John Brooks
208004,Joël Veltman
178088,Juan Manuel Mata García
224422,Jérémie Boga
188988,Manuel Lanzini
181783,Mario Mandžukić
231864,Mitchell van Bergen
224574,Orbelín Pineda
20775,Ricardo Andrade Quaresma Bernardo
213874,Thiago Henrique Mendes Ribeiro
233195,Xaver Schlager
225403,İrfan Can Kahveci
246748,Aihen Muñoz Capellán
225614,Ilzat Akhmetov
242654,Johan Carbonero
225908,Reece Oxford
238581,Ruben Vargas
212151,Thomas Strakosha
206115,Isaac Hayden
210513,Juan Fernando Quintero
202648,Sergi Darder Moll
190286,Sergio Canales Madrazo
172879,Sokratis Papastathopoulos
228635,Borja Mayoral Moya
229862,Eduardo Expósito Jaén
241552,Jacob Italiano
245715,Jamie Shackleton
220570,Jan Bednarek
199915,Lewis Dunk
210665,Marcel Halstenberg
207599,Michael Keane
237841,Michael Murillo
206591,Mitchell Weiser
254087,Ramón Juárez
157804,Scott Carson
241928,Albert Sambi Lokonga
205525,Bernard Anício Caldeira Duarte
251645,Bobby Duncan
235526,Dennis Geiger
200647,Josip Iličić
202884,Leonardo Spinazzola
245153,Nathan Wood
225439,Rolando Mandragora
204638,Willi Orban
208268,Bryan Cristante
243350,Felix Agu
227222,Frédéric Guilbert
1179,Gianluigi Buffon
233738,Igor Zubeldia Elorza
252594,Isaac Lihadji
228414,Matheus Fellipe Costa Pereira
224030,Maxime Lopez
242265,Michael Obafemi
241464,Pau Francisco Torres
234229,Ross McCrorie
